               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  54,            0.047611,            0.041874,            0.015432,             0.66964,             0.28546,             0.31815,             0.15067,            0.053791,            0.033316,            0.015024,            0.004654,            0.004654,            0.004654
                  55,            0.047583,            0.042578,            0.015207,              0.4787,             0.33376,              0.3167,             0.15564,            0.053708,            0.034164,            0.014784,            0.004555,            0.004555,            0.004555
                  56,             0.04872,            0.043307,            0.015275,             0.52285,              0.3237,             0.33383,             0.16258,            0.052501,            0.033499,            0.013247,            0.004456,            0.004456,            0.004456
                  57,            0.047248,            0.042207,            0.014763,             0.49224,             0.33942,             0.32776,             0.15541,            0.052696,            0.033463,            0.014878,            0.004357,            0.004357,            0.004357
                  58,             0.04696,            0.041483,             0.01448,             0.55564,             0.30533,             0.33028,             0.16044,            0.053261,             0.03352,             0.01443,            0.004258,            0.004258,            0.004258
                  59,            0.047724,            0.040749,            0.014877,             0.58003,             0.29851,             0.32686,             0.16011,            0.052852,            0.032956,            0.015031,            0.004159,            0.004159,            0.004159
                  60,             0.04697,            0.041381,            0.013841,             0.53175,             0.30128,             0.32507,             0.16381,            0.052845,            0.033152,            0.015299,             0.00406,             0.00406,             0.00406
                  61,            0.047344,            0.042115,            0.014419,             0.47662,              0.3176,             0.32938,             0.16128,            0.052573,            0.033223,            0.014248,            0.003961,            0.003961,            0.003961
                  62,            0.047202,            0.041941,            0.013973,             0.50171,             0.34494,             0.33399,             0.16336,            0.052394,            0.033278,            0.014012,            0.003862,            0.003862,            0.003862
                  63,            0.046797,            0.041062,            0.014591,             0.54567,             0.31001,             0.33103,             0.16137,            0.052896,            0.033179,            0.013653,            0.003763,            0.003763,            0.003763
                  64,            0.046841,            0.041601,            0.013653,             0.52705,             0.31731,             0.33288,             0.16419,            0.052698,            0.033146,            0.014198,            0.003664,            0.003664,            0.003664
                  65,            0.046304,             0.04173,            0.014073,             0.49877,             0.31178,             0.33021,              0.1637,            0.052561,            0.033119,            0.013556,            0.003565,            0.003565,            0.003565
                  66,            0.046169,            0.039617,            0.013375,             0.56824,             0.31646,             0.33692,             0.16118,            0.052899,            0.033239,            0.014474,            0.003466,            0.003466,            0.003466
